Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
0,-44.63,-40,1,0,1,2,9,2,8,4,9,5,9
10,-56.28,-40,0,0,0,4,3,6,1,4,9,5,9
20,-37.85,-40,1,0,1,2,4,0,0,4,9,5,9
30,-33.5,-40,0,1,1,5,6,5,5,4,9,5,9
40,-33.65,-40,0,1,1,0,1,9,8,4,9,5,9
50,-64.4,-40,0,0,0,5,6,0,2,4,9,5,9
60,-27.4,-40,1,0,1,7,7,3,0,4,9,5,9
70,-22.13,-40,0,1,1,4,7,3,9,4,9,5,9
80,-35.65,-40,1,0,1,0,4,2,8,4,9,5,9
90,-57.5,-40,0,0,0,2,8,6,6,4,9,5,9
100,-32.58,-40,0,1,1,9,2,7,8,4,9,5,9
110,-24.98,-40,1,0,1,3,8,9,2,4,9,5,9
120,-64.15,-40,0,0,0,0,3,4,4,4,9,5,9
1780,8,47.1,1,1,2,2,7,6,8,4,9,5,9
140,-66.15,-40,0,0,0,8,0,2,3,4,9,5,9
150,-35.23,-40,0,1,1,3,6,7,7,4,9,5,9
160,-71.1,-40,0,0,0,4,5,7,2,4,9,5,9
170,-59.5,-40,0,0,0,6,2,6,7,4,9,5,9
180,-55.98,-40,0,0,0,6,1,2,9,4,9,5,9
190,-28.95,-40,1,0,1,3,7,7,4,4,9,5,9
630,7.02,46.4,1,1,2,2,9,3,9,4,9,5,9
270,5.65,44.7,1,1,2,0,6,4,8,4,9,5,9
220,-38.38,-40,1,0,1,2,6,2,5,4,9,5,9
230,-35.33,-40,1,0,1,4,3,8,7,4,9,5,9
240,-73.15,-40,1,0,1,6,7,2,2,4,9,5,9
250,-31.35,-40,0,1,1,2,5,0,7,4,9,5,9
260,-69.63,-40,0,0,0,5,8,0,0,4,9,5,9
1660,-3.15,43.9,1,1,2,0,7,4,8,4,9,5,9
280,-31.25,-40,1,0,1,6,8,4,2,4,9,5,9
290,-24.08,-40,1,0,1,7,2,6,7,4,9,5,9
300,-49.38,-40,1,0,1,6,4,5,1,4,9,5,9
310,-41.75,-40,1,0,1,5,0,0,1,4,9,5,9
320,-104.97,-40,1,0,1,1,3,1,2,4,9,5,9
330,-57.65,-40,0,0,0,2,8,8,9,4,9,5,9
340,-28.53,-40,1,0,1,1,0,4,6,4,9,5,9
350,-37.17,-40,0,1,1,9,8,7,9,4,9,5,9
360,-32.33,-40,0,1,1,9,5,8,3,4,9,5,9
370,-75.52,-40,0,0,0,1,1,3,2,4,9,5,9
380,-50.65,-40,0,1,1,3,9,7,5,4,9,5,9
390,-85.17,-40,0,0,0,6,4,2,1,4,9,5,9
400,-34.33,-40,1,0,1,9,1,2,0,4,9,5,9
410,-34.93,-40,1,0,1,9,1,2,4,4,9,5,9
420,-28.2,-40,0,1,1,7,6,4,8,4,9,5,9
430,-67.37,-40,0,1,1,0,1,0,6,4,9,5,9
440,-83.3,-40,0,1,1,4,2,5,0,4,9,5,9
1110,-4.6,43.3,1,1,2,3,1,5,8,4,9,5,9
460,-65.1,-40,0,0,0,1,2,4,4,4,9,5,9
470,-63.62,-40,1,0,1,7,2,8,2,4,9,5,9
480,-24.45,-40,1,0,1,2,8,3,0,4,9,5,9
490,-45.82,-40,0,1,1,9,8,4,2,4,9,5,9
2430,-1.23,43.2,1,1,2,0,1,4,9,4,9,5,9
510,-47.15,-40,1,0,1,3,8,7,3,4,9,5,9
520,-39.08,-40,1,0,1,4,4,3,3,4,9,5,9
530,-28.63,-40,1,0,1,8,8,8,1,4,9,5,9
540,-20.88,-40,1,0,1,4,7,5,8,4,9,5,9
550,-34.98,-40,1,0,1,6,1,7,2,4,9,5,9
560,-35.38,-40,1,0,1,1,7,8,5,4,9,5,9
